2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,cityName,cityName-en,distance-Wuhan,distance-Xiaogan,distance-Huanggang,distance-Suizhou,distance-Jingzhou
3,4,7,7,10,14,19,25,28,35,40,44,47,52,57,57,65,71,78,84,87,90,91,91,92,92,92,93,93,93,93,93,93,93,93,93,93,93,93,南京,Nanjing,457.748954645221,460.434711133014,412.529065940273,512.185915769554,651.186837252897
,,2,2,4,5,9,11,16,23,26,27,28,29,30,30,31,32,33,34,34,35,35,35,35,35,38,38,38,38,38,38,39,39,39,39,39,39,39,南充,Nanchong,786.762192703774,752.655712697199,841.075347004471,700.071158865673,590.886284064091
,,1,5,5,7,15,16,16,16,22,27,28,30,31,31,32,35,37,41,44,44,47,49,50,51,54,54,54,54,55,55,55,55,55,55,55,55,55,南宁,Nanning,1037.97053242877,1147.0964574933,1063.92537315163,1103.06786089246,916.860976292239
,,,1,2,3,3,3,8,8,11,11,12,12,12,12,14,16,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,南平,Nanping,511.300080198056,650.368731893296,466.772840643709,667.493742517002,661.639993480026
2,3,4,8,17,25,46,67,83,89,103,121,134,149,162,162,168,179,189,195,204,210,217,222,227,228,229,230,229,229,229,229,229,229,229,229,230,230,230,南昌,Nanchang,254.990104932813,406.529308842723,218.696813079786,414.52050079957,398.306974353199
1,1,2,4,6,6,9,10,12,17,19,22,1,27,29,29,31,32,33,35,37,38,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,南通,Nantong,664.440559424218,674.79111335945,615.941111050702,726.573414787886,861.183202397559
,8,15,19,26,31,51,61,66,62,84,99,107,111,118,118,128,133,134,136,138,145,146,150,151,154,155,155,155,155,155,155,155,155,155,156,156,156,156,南阳,Nanyang,323.503378024152,177.31757183161,361.066635606128,164.078436707737,298.128524259239
1,3,3,4,4,5,7,13,17,18,19,20,21,21,23,23,25,25,28,31,32,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,厦门,Xiamen,768.742671714351,923.201017921928,735.452564461465,928.241343312244,870.9620761001
,,,1,1,1,1,1,2,4,7,12,16,20,36,36,36,38,38,38,39,39,48,48,49,50,52,52,52,52,52,52,52,52,52,52,52,52,52,双鸭山,Shuangyashan,2305.72287345204,2201.88114320891,2283.11239604981,2250.14123623335,2438.14818717371
4,20,21,22,22,40,64,81,64,100,109,115,122,124,129,129,133,138,141,143,143,144,144,145,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,台州,Taizhou,720.476464913501,808.883073961782,666.25494639032,846.389310918867,910.553807388733
,,,,,,,,,,,,,,13,16,17,18,18,18,18,18,18,18,20,20,22,23,24,26,26,28,30,31,32,32,34,39,40,台湾,Taiwan,925.396640456525,1055.98488957279,878.192579643826,1078.35144732057,1078.41308450044
6,10,13,13,16,29,39,50,59,59,75,81,93,104,115,115,128,136,147,150,157,161,166,168,169,171,173,173,173,174,174,174,174,174,174,174,174,174,174,合肥,Hefei,318.838804356583,317.932295486997,277.762106562794,368.79574763968,508.67092809949
1,1,2,3,3,4,5,8,11,12,13,15,15,15,16,16,17,17,18,19,21,20,20,20,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,吉安,Jian,382.295895916877,541.876811287646,368.092743645381,532.480441713403,444.715914288452
1,2,2,2,3,3,3,3,3,3,4,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,吉林,Jilin,1834.02832210028,1727.6228949307,1812.96357084835,1775.55020870047,1963.60945089633
,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,吐鲁番,Tulufan,2616.40640365256,2491.65152522782,2663.99314043995,2464.78283186716,2476.65352967736
,,,1,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,吕梁,Lvliang,830.32844273646,671.598575707278,858.045128064423,676.241233571401,804.470865796057
,,,,2,3,5,5,6,7,7,7,7,8,9,9,9,10,13,15,19,22,25,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,吴忠,Wuzhong,1114.03252301611,972.997852700428,1155.71116345292,955.400190140225,1014.71956994264
1,4,5,11,15,19,25,36,38,40,47,52,56,59,60,60,62,62,65,65,66,68,69,70,71,75,76,76,76,76,76,76,76,76,76,76,76,76,76,周口,Zhoukou,346.182680166563,201.278131885269,354.456555261233,242.330944462619,429.654666001441
1,1,2,2,2,2,2,2,2,2,2,3,3,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,呼伦贝尔,Hulunbeier,2124.65448389737,1980.474389,2123.67272827297,2013.68240514864,2189.1751516897
,,,,,2,2,2,2,2,4,4,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,呼和浩特,Huhehaote,1167.75253083823,1008.10325672704,1187.80201002641,1021.83521106172,1164.82842910417
1,1,43,64,91,112,130,166,206,246,296,348,384,399,443,443,476,493,507,515,525,534,732,840,852,861,868,832,766,834,836,836,836,836,836,836,836,836,836,咸宁,Xianning,72.1141192083877,230.014765880998,84.989231469911,222.257657647028,203.030972360579
1,1,1,4,4,5,5,6,8,9,9,11,15,15,15,15,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,咸阳,Xianyang,676.300195214503,554.621801661349,723.436351526812,524.587706208553,556.11879974927
1,6,8,8,10,11,13,18,25,34,45,63,73,82,94,94,100,114,128,146,150,159,164,167,182,188,190,192,194,197,197,198,198,198,198,198,198,198,198,哈尔滨,Haerbin,2000.78985461003,1886.13169961744,1983.07945681427,1931.86305564251,2119.71793164072
